record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""98XXXXXX10"", ""order_value"": 1299}",True
2,"{""name"": ""RXXX KXXX"", ""email"": ""ra**********@email.com"", ""city"": ""Mumbai""}",True
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",False
4,"{""aadhar"": ""XXXX-XXXX-XXXX"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""st*******e@email.com"", ""product_id"": ""PROD123""}",True
6,"{""name"": ""AXXX SXXX"", ""address"": ""[REDACTED_ADDRESS]"", ""ip_address"": ""192.168.*.*""}",True
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",False
8,"{""upi_id"": ""us****3@paytm"", ""amount"": 500}",True
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",False
10,"{""passport"": ""PXXXXXX7"", ""booking_reference"": ""BK123""}",True
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",False
12,"{""name"": ""SXXX PXXX"", ""email"": ""sn*********@gmail.com"", ""device_id"": ""[REDACTED_DEVICE_ID]""}",True
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",False
14,"{""phone"": ""87XXXXXX09"", ""order_date"": ""2024-01-15""}",True
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",False
16,"{""name"": ""VXXX RXXX"", ""address"": ""[REDACTED_ADDRESS]"", ""email"": ""vi****@company.com""}",True
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",False
18,"{""aadhar"": ""XXXX-XXXX-XXXX"", ""verification_status"": ""verified""}",True
19,"{""email"": ""cu*****r@service.com"", ""query_type"": ""refund""}",True
20,"{""upi_id"": ""91*******0@ybl"", ""merchant"": ""Flipkart""}",True
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",False
22,"{""name"": ""DXXX AXXX"", ""phone"": ""78XXXXXX56"", ""email"": ""de*****@email.com""}",True
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",False
24,"{""passport"": ""MXXXXXX3"", ""travel_date"": ""2024-03-15""}",True
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",False
26,"{""name"": ""RXXX GXXX"", ""address"": ""[REDACTED_ADDRESS]"", ""ip_address"": ""10.0.*.*""}",True
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",False
28,"{""phone"": ""67XXXXXX45"", ""sms_consent"": true}",True
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",False
30,"{""aadhar"": ""XXXX-XXXX-XXXX"", ""kyc_status"": ""pending""}",True
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",False
32,"{""name"": ""MXXX JXXX"", ""email"": ""me*****@workplace.com"", ""device_type"": ""Android""}",True
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",False
34,"{""upi_id"": ""me*****t@okaxis"", ""payment_method"": ""UPI""}",True
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",False
36,"{""name"": ""AXXX MXXX"", ""address"": ""321 Connaught Place, New Delhi, 110001"", ""phone"": ""90XXXXXX78""}",True
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",False
38,"{""passport"": ""LXXXXXX1"", ""country"": ""India""}",True
39,"{""first_name"": ""Kavya"", ""gender"": ""Female"", ""age_group"": ""25-35""}",False
40,"{""aadhar"": ""XXXX-XXXX-XXXX"", ""bank_verification"": ""success""}",True
41,"{""brand"": ""Nike"", ""model"": ""Air Max"", ""size"": ""9""}",False
42,"{""name"": ""SXXX NXXX"", ""email"": ""si******@tech.com"", ""ip_address"": ""203.192.*.*""}",True
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",False
44,"{""phone"": ""89XXXXXX67"", ""notification_preference"": ""SMS""}",True
45,"{""product_rating"": 4.5, ""review_count"": 150}",False
46,"{""upi_id"": ""fa**********t@ibl"", ""family_size"": 4}",True
47,"{""zip_code"": ""560001"", ""delivery_zone"": ""Zone_A""}",False
48,"{""name"": ""PXXX DXXX"", ""address"": ""[REDACTED_ADDRESS]"", ""email"": ""po*********@email.in""}",True
